Truck, Organization, Temperature (ºC), # People, Latitude, Longitude
2, 1, 30.502091, 28, 40.375980, -3.657390
2, 1, 39.821595, 15, 40.375990, -3.657630
2, 1, 12.590039, 38, 40.375600, -3.656800
2, 1, 20.315837, 59, 40.375270, -3.655800
2, 2, 12.688554, 41, 40.426450, -3.700680
1, 2, 37.308981, 49, 40.495380, -3.725520
0, 2, 26.069799, 58, 40.404990, -3.702020
1, 1, 44.956981, 52, 40.438010, -3.638570
0, 1, 10.489263, 42, 40.424410, -3.675770
2, 0, 30.428469, 55, 40.486680, -3.698680
1, 0, 24.095882, 24, 40.464630, -3.808930
0, 0, 41.465894, 36, 40.459370, -3.786970
2, 1, 26.895884, 59, 40.375130, -3.655560
2, 1, 9.391108, 22, 40.374810, -3.655590
2, 1, 42.042702, 56, 40.375050, -3.656410
2, 1, 42.728884, 37, 40.372870, -3.658200
2, 2, 31.576576, 36, 40.429900, -3.702690
1, 2, 29.479229, 46, 40.493820, -3.726820
0, 2, 10.933678, 43, 40.407260, -3.693190
1, 1, 6.318536, 37, 40.428640, -3.648830
0, 1, 25.726027, 49, 40.421320, -3.679930
2, 0, 25.601963, 31, 40.483930, -3.699760
1, 0, 25.413961, 7, 40.466820, -3.812060
0, 0, 37.574057, 46, 40.459560, -3.779170
2, 1, 9.166967, 14, 40.374250, -3.659050
2, 1, 42.234171, 19, 40.374970, -3.661220
2, 1, 38.764521, 39, 40.376040, -3.660380
2, 1, 10.109708, 29, 40.376440, -3.659810
2, 2, 12.665212, 55, 40.433700, -3.704490
1, 2, 18.972963, 49, 40.491840, -3.723810
0, 2, 22.056462, 43, 40.413400, -3.693060
1, 1, 12.205454, 41, 40.422360, -3.651700
0, 1, 20.451946, 22, 40.411330, -3.676380
2, 0, 9.369337, 13, 40.479730, -3.702710
1, 0, 20.827368, 46, 40.467210, -3.814920
0, 0, 26.293676, 10, 40.455870, -3.784450
2, 1, 18.173666, 35, 40.376620, -3.659840
2, 1, 14.409807, 54, 40.376570, -3.660030
2, 1, 15.263337, 38, 40.376890, -3.661170
2, 1, 18.287282, 40, 40.377690, -3.663070
2, 2, 18.043874, 16, 40.437040, -3.702560
1, 2, 44.694062, 12, 40.495500, -3.719720
0, 2, 24.753253, 55, 40.425850, -3.689870
1, 1, 15.582102, 41, 40.418730, -3.650860
2, 1, 42.595142, 17, 40.378700, -3.664870
0, 1, 42.872454, 38, 40.407170, -3.679040
2, 0, 16.167101, 18, 40.480700, -3.712790
1, 0, 34.645198, 50, 40.470670, -3.818350
0, 0, 23.690967, 40, 40.452130, -3.785250
2, 1, 37.591779, 28, 40.378170, -3.666860
2, 1, 18.008244, 49, 40.376660, -3.668160
2, 1, 34.490790, 22, 40.374690, -3.666050
2, 2, 40.195384, 25, 40.445960, -3.703500
2, 1, 13.006717, 7, 40.373180, -3.664550
1, 2, 28.819371, 15, 40.489690, -3.716300
0, 2, 44.750957, 11, 40.437520, -3.689930
1, 1, 12.550066, 18, 40.412550, -3.653740
0, 1, 11.934912, 14, 40.397630, -3.682640
2, 0, 40.518580, 44, 40.482030, -3.718960
1, 0, 40.331958, 15, 40.469550, -3.816090
0, 0, 9.969451, 9, 40.448900, -3.783160
2, 1, 23.481335, 17, 40.373420, -3.666170
2, 1, 20.480138, 41, 40.373470, -3.667450
2, 1, 33.732001, 8, 40.373490, -3.668680
2, 1, 19.475258, 51, 40.373960, -3.670430
2, 2, 42.824330, 23, 40.452220, -3.693200
1, 2, 9.065191, 27, 40.488180, -3.719160
0, 2, 20.132627, 14, 40.448360, -3.690960
1, 1, 7.952951, 5, 40.407030, -3.658820
0, 1, 38.812984, 15, 40.392560, -3.676830
2, 0, 7.258431, 23, 40.476780, -3.733340
1, 0, 26.528187, 23, 40.468880, -3.805410
2, 1, 20.482686, 48, 40.373840, -3.671270
0, 0, 14.052569, 39, 40.452440, -3.778710
2, 1, 26.414416, 59, 40.374750, -3.670990
