timestamp,latitude,longitude,speed,heading,occupancy
0,40.4665,-3.6892,8.0,0.0,40.0
1,40.466429,-3.689212,8.0,187.5,40.1
2,40.466358,-3.689225,8.0,187.5,40.3
3,40.466286,-3.689237,8.0,187.5,40.4
4,40.466215,-3.689249,8.0,187.5,40.6
5,40.466144,-3.689262,8.0,187.5,40.7
6,40.466073,-3.689274,8.0,187.5,40.9
7,40.466001,-3.689286,8.0,187.5,41.0
8,40.46593,-3.689299,8.0,187.5,41.2
9,40.465859,-3.689311,8.0,187.5,41.3
10,40.465788,-3.689323,8.0,187.5,41.5
11,40.465716,-3.689336,8.0,187.5,41.6
12,40.465645,-3.689348,8.0,187.5,41.7
13,40.465574,-3.689361,8.0,187.5,41.9
14,40.465503,-3.689373,8.0,187.5,42.0
15,40.465431,-3.689385,8.0,187.5,42.2
16,40.46536,-3.689398,8.0,187.5,42.3
17,40.465289,-3.68941,8.0,187.5,42.5
18,40.465218,-3.689422,8.0,187.5,42.6
19,40.465146,-3.689435,8.0,187.5,42.8
20,40.465075,-3.689447,8.0,187.5,42.9
21,40.465004,-3.689459,8.0,187.5,43.1
22,40.464933,-3.689472,8.0,187.5,43.2
23,40.464861,-3.689484,8.0,187.5,43.3
24,40.46479,-3.689496,8.0,187.5,43.5
25,40.464719,-3.689509,8.0,187.5,43.6
26,40.464648,-3.689521,8.0,187.5,43.8
27,40.464576,-3.689533,8.0,187.5,43.9
28,40.464505,-3.689546,8.0,187.5,44.1
29,40.464434,-3.689558,8.0,187.5,44.2
30,40.464363,-3.68957,8.0,187.5,44.4
31,40.464291,-3.689583,8.0,187.5,44.5
32,40.46422,-3.689595,8.0,187.5,44.7
33,40.464149,-3.689608,8.0,187.5,44.8
34,40.464078,-3.68962,8.0,187.5,44.9
35,40.464006,-3.689632,8.0,187.5,45.1
36,40.463935,-3.689645,8.0,187.5,45.2
37,40.463864,-3.689657,8.0,187.5,45.4
38,40.463793,-3.689669,8.0,187.5,45.5
39,40.463721,-3.689682,8.0,187.5,45.7
40,40.46365,-3.689694,8.0,187.5,45.8
41,40.463579,-3.689706,8.0,187.5,46.0
42,40.463508,-3.689719,8.0,187.5,46.1
43,40.463436,-3.689731,8.0,187.5,46.2
44,40.463365,-3.689743,8.0,187.5,46.4
45,40.463294,-3.689756,8.0,187.5,46.5
46,40.463223,-3.689768,8.0,187.5,46.7
47,40.463151,-3.68978,8.0,187.5,46.8
48,40.46308,-3.689793,8.0,187.5,47.0
49,40.463009,-3.689805,8.0,187.5,47.1
