timestamp,latitude,longitude,speed,heading,occupancy
0,40.4468,-3.7038,14.0,0.0,78.6
1,40.446789,-3.703635,14.0,95.1,78.5
2,40.446778,-3.703471,14.0,95.1,78.4
3,40.446767,-3.703306,14.0,95.1,78.3
4,40.446755,-3.703142,14.0,95.1,78.2
5,40.446744,-3.702977,14.0,95.1,78.1
6,40.446733,-3.702812,14.0,95.1,78.0
7,40.446722,-3.702648,14.0,95.1,77.9
8,40.446711,-3.702483,14.0,95.1,77.8
9,40.4467,-3.702319,14.0,95.1,77.7
10,40.446689,-3.702154,14.0,95.1,77.5
11,40.446677,-3.701989,14.0,95.1,77.4
12,40.446666,-3.701825,14.0,95.1,77.3
13,40.446655,-3.70166,14.0,95.1,77.2
14,40.446644,-3.701495,14.0,95.1,77.1
15,40.446633,-3.701331,14.0,95.1,77.0
16,40.446622,-3.701166,14.0,95.1,76.9
17,40.446611,-3.701002,14.0,95.1,76.8
18,40.446599,-3.700837,14.0,95.1,76.6
19,40.446588,-3.700672,14.0,95.1,76.5
20,40.446577,-3.700508,14.0,95.1,76.4
21,40.446566,-3.700343,14.0,95.1,76.3
22,40.446555,-3.700179,14.0,95.1,76.2
23,40.446544,-3.700014,14.0,95.1,76.1
24,40.446533,-3.699849,14.0,95.1,75.9
25,40.446522,-3.699685,14.0,95.1,75.8
26,40.44651,-3.69952,14.0,95.1,75.7
27,40.446499,-3.699356,14.0,95.1,75.6
28,40.446488,-3.699191,14.0,95.1,75.5
29,40.446477,-3.699026,14.0,95.1,75.4
30,40.446466,-3.698862,14.0,95.1,75.2
31,40.446455,-3.698697,14.0,95.1,75.1
32,40.446444,-3.698532,14.0,95.1,75.0
33,40.446432,-3.698368,14.0,95.1,74.9
34,40.446421,-3.698203,14.0,95.1,74.8
35,40.44641,-3.698039,14.0,95.1,74.6
36,40.446399,-3.697874,14.0,95.1,74.5
37,40.446388,-3.697709,14.0,95.1,74.4
38,40.446377,-3.697545,14.0,95.1,74.3
39,40.446366,-3.69738,14.0,95.1,74.2
40,40.446354,-3.697216,14.0,95.1,74.0
41,40.446343,-3.697051,14.0,95.1,73.9
42,40.446332,-3.696886,14.0,95.1,73.8
43,40.446321,-3.696722,14.0,95.1,73.7
44,40.44631,-3.696557,14.0,95.1,73.5
45,40.446299,-3.696393,14.0,95.1,73.4
46,40.446288,-3.696228,14.0,95.1,73.3
47,40.446276,-3.696063,14.0,95.1,73.2
48,40.446265,-3.695899,14.0,95.1,73.0
49,40.446254,-3.695734,14.0,95.1,72.9
50,40.446243,-3.69557,14.0,95.1,72.8
51,40.446232,-3.695405,14.0,95.1,72.7
52,40.446221,-3.69524,14.0,95.1,72.5
53,40.44621,-3.695076,14.0,95.1,72.4
54,40.446198,-3.694911,14.0,95.1,72.3
55,40.446187,-3.694746,14.0,95.1,72.2
56,40.446176,-3.694582,14.0,95.1,72.0
57,40.446165,-3.694417,14.0,95.1,71.9
58,40.446154,-3.694253,14.0,95.1,71.8
