timestamp,latitude,longitude,speed,heading,occupancy
0,40.4206,-3.7203,22.0,0.0,24.5
1,40.420407,-3.720241,22.0,166.9,24.4
2,40.420215,-3.720183,22.0,166.9,24.4
3,40.420022,-3.720124,22.0,166.9,24.3
4,40.41983,-3.720065,22.0,166.9,24.2
5,40.419637,-3.720006,22.0,166.9,24.1
6,40.419445,-3.719948,22.0,166.9,24.1
7,40.419252,-3.719889,22.0,166.9,24.0
8,40.41906,-3.71983,22.0,166.9,23.9
9,40.418867,-3.719772,22.0,166.9,23.9
10,40.418675,-3.719713,22.0,166.9,23.8
11,40.418482,-3.719654,22.0,166.9,23.7
12,40.41829,-3.719596,22.0,166.9,23.7
13,40.418097,-3.719537,22.0,166.9,23.6
14,40.417905,-3.719478,22.0,166.9,23.5
15,40.417712,-3.719419,22.0,166.9,23.5
16,40.41752,-3.719361,22.0,166.9,23.4
17,40.417327,-3.719302,22.0,166.9,23.4
18,40.417135,-3.719243,22.0,166.9,23.3
19,40.416942,-3.719185,22.0,166.9,23.2
20,40.41675,-3.719126,22.0,166.9,23.2
21,40.416557,-3.719067,22.0,166.9,23.1
22,40.416365,-3.719009,22.0,166.9,23.1
23,40.416172,-3.71895,22.0,166.9,23.0
24,40.41598,-3.718891,22.0,166.9,22.9
25,40.415787,-3.718832,22.0,166.9,22.9
26,40.415595,-3.718774,22.0,166.9,22.8
27,40.415402,-3.718715,22.0,166.9,22.8
28,40.41521,-3.718656,22.0,166.9,22.7
29,40.415017,-3.718598,22.0,166.9,22.6
30,40.414825,-3.718539,22.0,166.9,22.6
31,40.414632,-3.71848,22.0,166.9,22.5
32,40.41444,-3.718422,22.0,166.9,22.5
33,40.414247,-3.718363,22.0,166.9,22.4
34,40.414055,-3.718304,22.0,166.9,22.4
35,40.413862,-3.718245,22.0,166.9,22.3
36,40.41367,-3.718187,22.0,166.9,22.3
37,40.413477,-3.718128,22.0,166.9,22.2
38,40.413285,-3.718069,22.0,166.9,22.2
39,40.413092,-3.718011,22.0,166.9,22.1
40,40.4129,-3.717952,22.0,166.9,22.1
41,40.412707,-3.717893,22.0,166.9,22.0
42,40.412515,-3.717835,22.0,166.9,22.0
43,40.412322,-3.717776,22.0,166.9,21.9
44,40.41213,-3.717717,22.0,166.9,21.9
45,40.411937,-3.717658,22.0,166.9,21.8
46,40.411745,-3.7176,22.0,166.9,21.8
47,40.411552,-3.717541,22.0,166.9,21.7
48,40.41136,-3.717482,22.0,166.9,21.7
49,40.411167,-3.717424,22.0,166.9,21.6
50,40.410975,-3.717365,22.0,166.9,21.6
51,40.410782,-3.717306,22.0,166.9,21.6
52,40.41059,-3.717247,22.0,166.9,21.5
53,40.410397,-3.717189,22.0,166.9,21.5
54,40.410205,-3.71713,22.0,166.9,21.4
55,40.410012,-3.717071,22.0,166.9,21.4
56,40.409819,-3.717013,22.0,166.9,21.4
